Genotype,Temp,Frequency,tindex,t1,t2,t3,t4,t5,t6,t7,t8,growthrate,R2,Genot
10888,25-35,120,59,0,24,89,120,185.5,213.5,NA,NA,3.84125907333288,0.997673691842622,X10888
10888,25-35,120,55,0,24.5,85,113,175.5,205.5,NA,NA,3.7025,0.999153573078359,X10888
10888,25-35,120,55,0,28.5,96,129,186,211,NA,NA,3.82916666666667,0.997477161517201,X10888
10888,25-35,480,61,0,20,87,120.5,184.5,212,NA,NA,3.94740208970076,0.99862120642028,X10888
10888,25-35,480,55,0,18,101,134,204,NA,NA,NA,4.39364035087719,0.992530478011422,X10888
10888,25-35,480,55,0,26,84,110,174.5,204,NA,NA,3.66083333333333,0.998688060418066,X10888
10888,30,0,55,0,31.5,103.5,133,196.5,220,NA,NA,3.99083333333334,0.997014714374109,X10888
10888,30,0,55,0,36,100.5,133,196.5,NA,NA,NA,4.07730263157895,0.999561517376889,X10888
10888,30,0,55,0,35.5,104,136.5,201,226.5,NA,NA,4.07583333333333,0.998228823261148,X10888
10888,32,0,55,0,29,105.5,139,208,236.5,NA,NA,4.30666666666667,0.998481902119241,X10888
10888,32,0,55,0,31.5,111.5,147,224.5,NA,NA,NA,4.71710526315789,0.999059408910313,X10888
10888,32,0,55,0,34.5,109,142,206.5,NA,NA,NA,4.33607456140351,0.998568390936355,X10888
10888,32-42,120,62,0,14,55.5,79,123.5,142.5,177,192,2.50477717286049,0.997114288108158,X10888
10888,32-42,120,55,0,27.5,85,115,167.5,186,222,241,3.04008152173913,0.988031473234673,X10888
10888,32-42,120,55,0,26,73.5,97.5,142.5,161,194,209,2.63179347826087,0.991270610014876,X10888
10888,32-42,480,62,0,24,75,100,155.5,178,219,235,3.03334337543845,0.996626232374845,X10888
10888,32-42,480,55,0,23,82.5,111.5,170.5,191,234.5,NA,3.35557432432433,0.995392403244044,X10888
10888,32-42,480,55,0,28,84,111,165.5,185,226,NA,3.19172297297297,0.994680277089641,X10888
10888,35,0,55,0,39.5,114.5,145,NA,NA,NA,NA,4.5625,0.997442910398831,X10888
10888,35,0,55,0,37.5,117,149.5,NA,NA,NA,NA,4.73125,0.99840236376948,X10888
10888,35,0,55,0,35.5,114.5,145.5,211,NA,NA,NA,4.43421052631579,0.997116425568482,X10888
10888,37,0,55,0,33,104.5,134.5,197,225,NA,NA,4.04166666666667,0.998195827054104,X10888
10888,37,0,55,0,36,113,144,207.5,NA,NA,NA,4.35635964912281,0.996892434757774,X10888
10888,37,0,55,0,26,95,122.5,172,197.5,NA,NA,3.56666666666667,0.994348317537605,X10888
10888,42,0,55,0,2,3.5,3.5,6,6,8,8,0.0971467391304348,0.963255028259291,X10888
10888,42,0,55,0,2,4,5.5,7,7,10,10,0.121603260869565,0.968693526097587,X10888
10888,42,0,55,0,1,3.5,3.5,4,4,4,4,0.0455163043478261,0.646557971014493,X10888
10889,25,0,55,0,26,80,106.5,157.5,182.5,NA,NA,3.26916666666667,0.999764825494995,X10889
10889,25,0,55,0,28,83.5,109.5,166,192,NA,NA,3.43333333333333,0.999896912074836,X10889
10889,25,0,55,0,23.5,79.5,108,167.5,195,245,NA,3.47072072072072,0.999086961972555,X10889
10889,25-35,120,59,0,28.5,98.5,132.5,195.5,224,NA,NA,4.01377111457839,0.998537373330043,X10889
10889,25-35,120,55,0,26.5,84,106.5,159.5,181.5,NA,NA,3.26333333333333,0.998506519728529,X10889
10889,25-35,120,55,0,25.5,93,128,179.5,206,NA,NA,3.745,0.995973604852601,X10889
10889,25-35,480,61,0,23.5,91,123,190,216,NA,NA,4.00828061695927,0.999003804373206,X10889
10889,25-35,480,55,0,26,90,121.5,184.5,211,NA,NA,3.835,0.999268786454499,X10889
10889,25-35,480,55,0,29,96,123,184,210.5,NA,NA,3.7925,0.99884688065661,X10889
10889,30,0,55,0,34.5,110,142,202.5,NA,NA,NA,4.26699561403509,0.99658218252175,X10889
10889,30,0,55,0,35.5,103,135,201,NA,NA,NA,4.17708333333333,0.999736023191562,X10889
10889,30,0,55,NA,0,66.5,103.5,172.5,NA,NA,NA,4.32451923076923,0.999559825301612,X10889
10889,32,0,55,0,14,86.5,124,196,NA,NA,NA,4.21107456140351,0.988253669749576,X10889
10889,32,0,55,0,29.5,104,142,206.5,237,NA,NA,4.30333333333333,0.998412781639501,X10889
10889,32,0,55,0,38,103,128.5,181,201.5,NA,NA,3.585,0.990648747499558,X10889
10889,32-42,120,62,0,15,64,86.5,134.5,153.5,192.5,206.5,2.6951970045835,0.996869033095006,X10889
10889,32-42,120,55,NA,NA,0,28,82,106.5,151,170,3.04916666666667,0.99517824424996,X10889
10889,32-42,120,55,0,23.5,70.5,97,145,164,202,216.5,2.7601902173913,0.994438704185243,X10889
10889,32-42,480,62,0,20,78,107,164,188.5,236,255,3.3073637322201,0.997765376064757,X10889
10889,32-42,480,55,0,24,83,108.5,161,181,221.5,NA,3.14315878378378,0.994489384688194,X10889
10889,32-42,480,55,0,26,87,117,171,195,NA,NA,3.53333333333333,0.99855542714908,X10889
10889,35,0,55,0,38,115.5,156.5,213.5,NA,NA,NA,4.52686403508772,0.993537208213684,X10889
10889,35,0,55,0,39.5,118.5,154,NA,NA,NA,NA,4.8375,0.999439345903554,X10889
10889,35,0,55,0,39.5,118.5,152,217.5,NA,NA,NA,4.55592105263158,0.996761827002168,X10889
10889,37,0,55,0,36.5,110,144,208,NA,NA,NA,4.35690789473684,0.998445954058948,X10889
10889,37,0,55,0,34,111,146.5,217,NA,NA,NA,4.55701754385965,0.999496108907456,X10889
10889,37,0,55,0,34.5,111,146,214,NA,NA,NA,4.49616228070175,0.999151748414622,X10889
10889,42,0,55,0,1,1,2.5,4,4,11,16,0.173233695652174,0.761014268565338,X10889
